formulation,runtime_seconds,incumbent,best_bound,relative_gap,gap_percent,node_count,solution_count,event,bound_gap_to_best_known_percent,incumbent_gap_to_best_known_percent
network_mir,0.069681,,0.0,,,0.0,0,bound,100.0,
network_mir,0.319905,,34916.60164374014,,,0.0,0,bound,2.3994363557228753,
network_mir,0.498717,39586.99999999995,34916.60164374014,0.11797808260943779,11.797808260943778,0.0,6,incumbent,2.3994363557228753,10.655485674353455
network_mir,0.53183,39586.99999999995,34952.82359954149,0.11706308637831783,11.706308637831784,0.0,6,bound,2.2981870033780933,10.655485674353455
network_mir,0.591027,36152.0,34952.82359954149,0.033170402756652825,3.3170402756652826,0.0,11,incumbent,2.2981870033780933,1.0538085255066387
network_mir,0.617938,36152.0,34969.16052476729,0.03271850728127649,3.271850728127649,0.0,11,bound,2.2525212445358704,1.0538085255066387
network_mir,0.68922,36152.0,34969.69910545434,0.032703609607923775,3.2703609607923774,0.0,11,bound,2.25101577790541,1.0538085255066387
network_mir,0.698202,36152.0,34970.73959278289,0.0326748287015133,3.2674828701513303,0.0,11,bound,2.248107357699815,1.0538085255066387
network_mir,0.752484,36152.0,34975.892855248065,0.032532284375745055,3.2532284375745055,0.0,11,bound,2.2337027106972336,1.0538085255066387
network_mir,0.764476,36152.0,34976.733868479045,0.03250902111974317,3.2509021119743173,0.0,11,bound,2.2313518700795396,1.0538085255066387
network_mir,0.775477,36152.0,34976.83562158989,0.03250620652827259,3.250620652827259,0.0,11,bound,2.2310674448919934,1.0538085255066387
network_mir,0.781942,36152.0,34977.357207251654,0.03249177895409232,3.2491778954092316,0.0,11,bound,2.229609483573293,1.0538085255066387
network_mir,0.786115,36152.0,34977.37287934268,0.03249134544858713,3.249134544858713,0.0,11,bound,2.2295656761909766,1.0538085255066387
network_mir,0.815809,36152.0,34979.52621792542,0.03243178197816385,3.243178197816385,0.0,11,bound,2.223546560655708,1.0538085255066387
network_mir,0.827888,36152.0,34979.68354400951,0.03242743018340592,3.242743018340592,0.0,11,bound,2.2231067952214976,1.0538085255066387
network_mir,0.836337,36152.0,34980.20880706335,0.032412900888931534,3.2412900888931535,0.0,11,bound,2.2216385546796724,1.0538085255066387
network_mir,0.84456,36152.0,34980.35817629237,0.03240876918863766,3.2408769188637656,0.0,11,bound,2.2212210306292905,1.0538085255066387
network_mir,0.873638,36152.0,34982.27487115903,0.0323557515169553,3.23557515169553,0.0,11,bound,2.215863392986633,1.0538085255066387
network_mir,0.935724,35843.00000000001,34982.340398112254,0.024011929857650122,2.4011929857650123,0.0,15,incumbent,2.215680228896565,0.1900768693221727
network_mir,0.966168,35843.00000000001,34983.01254638041,0.023993177290394224,2.3993177290394225,0.0,15,bound,2.2138014077416996,0.1900768693221727
network_mir,0.976533,35843.00000000001,34983.10142759112,0.02399069755346609,2.399069755346609,0.0,15,bound,2.2135529627082544,0.1900768693221727
network_mir,1.003889,35843.00000000001,34983.25157633343,0.023986508486080315,2.3986508486080313,0.0,15,bound,2.2131332597248625,0.1900768693221727
network_mir,1.005631,35843.00000000001,34983.4817669086,0.02398008629555032,2.398008629555032,0.0,15,bound,2.212489819961993,0.1900768693221727
network_mir,1.044134,35843.00000000001,34983.64331380237,0.023975579226003286,2.3975579226003285,0.0,15,bound,2.2120382563176206,0.1900768693221727
network_mir,1.121277,35843.00000000001,34983.64764400166,0.023975458415823006,2.3975458415823008,0.0,15,bound,2.2120261523363713,0.1900768693221727
network_mir,1.163958,35843.00000000001,34985.10444335387,0.023934814514581286,2.3934814514581286,2.0,15,bound,2.2079540367466945,0.1900768693221727
network_mir,1.183077,35843.00000000001,34991.29255549322,0.023762169586998425,2.3762169586998425,3.0,15,bound,2.190656728181069,0.1900768693221727
network_mir,1.288831,35843.00000000001,35001.69847184664,0.023471850240029183,2.3471850240029184,5.0,15,bound,2.1615696104915694,0.1900768693221727
network_mir,1.317359,35843.00000000001,35002.35407725168,0.023453559209561926,2.3453559209561927,6.0,15,bound,2.159737030743036,0.1900768693221727
network_mir,1.407623,35843.00000000001,35010.30394053768,0.02323176239327987,2.323176239327987,7.0,15,bound,2.1375151906703658,0.1900768693221727
network_mir,2.041546,35791.00000000001,35010.30394053768,0.021812636122554005,2.1812636122554006,29.0,16,incumbent,2.1375151906703658,0.044723969252291475
network_mir,4.315194,35791.00000000001,35010.41125564377,0.021809637740108925,2.1809637740108925,187.0,16,bound,2.1372152183262934,0.044723969252291475
network_mir,6.227408,35791.00000000001,35015.21528768752,0.021675413157287816,2.1675413157287817,335.0,16,bound,2.1237867569880673,0.044723969252291475
network_mir,7.131029,35791.00000000001,35030.4674534273,0.021249267876636786,2.1249267876636786,387.0,16,bound,2.0811531700145354,0.044723969252291475
network_mir,8.201438,35791.00000000001,35033.138224032264,0.021174646586229594,2.1174646586229593,485.0,16,bound,2.0736877036135186,0.044723969252291475
network_mir,10.002986,35791.0,35033.138224032264,0.021174646586229397,2.1174646586229398,544.0,10,final,2.0736877036135186,0.04472396925227114
