formulation,runtime_seconds,incumbent,best_bound,relative_gap,gap_percent,node_count,solution_count,event,bound_gap_to_best_known_percent,incumbent_gap_to_best_known_percent
schedule_dw,0.354994,,0.0,,,0.0,0,bound,100.0,
schedule_dw,0.674666,,34916.60164374016,,,0.0,0,bound,2.3994363557228144,
schedule_dw,0.929818,,34950.75696509935,,,0.0,0,bound,2.3039637593309674,
schedule_dw,1.031925,37684.999998262334,34950.77447050712,0.07255474400640272,7.255474400640272,0.0,2,incumbent,2.303914827373519,5.338923824632659
schedule_dw,1.066874,37684.999998262334,34981.5011054931,0.07173938948902457,7.173938948902457,0.0,2,bound,2.218026259977353,5.338923824632659
schedule_dw,1.085123,37684.999998262334,34981.50975366448,0.0717391600032509,7.1739160003250895,0.0,2,bound,2.218002086192921,5.338923824632659
schedule_dw,1.101908,37684.999998262334,34981.66994634335,0.07173490916926199,7.173490916926199,0.0,2,bound,2.2175543079151727,5.338923824632659
schedule_dw,1.376922,37684.999998262334,34982.75634332424,0.07170608080304354,7.170608080304354,0.0,2,bound,2.214517558842098,5.338923824632659
schedule_dw,1.413234,37684.999998262334,34982.838973552076,0.07170388814740229,7.170388814740229,0.0,2,bound,2.2142865868565313,5.338923824632659
schedule_dw,1.595819,37684.999998262334,34984.01651560714,0.07167264117764997,7.167264117764997,0.0,2,bound,2.2109950646900405,5.338923824632659
schedule_dw,1.685105,37684.999998262334,34984.59964351681,0.0716571674371776,7.165716743717759,0.0,2,bound,2.209365077521139,5.338923824632659
schedule_dw,1.757334,37684.999998262334,35016.085958791795,0.07082165422830314,7.082165422830314,0.0,2,bound,2.1213530152570375,5.338923824632659
schedule_dw,1.777243,37684.999998262334,35016.169772401234,0.07081943017073533,7.081943017073533,0.0,2,bound,2.121118735426321,5.338923824632659
schedule_dw,1.791416,37684.999998262334,35016.180118803626,0.0708191556211163,7.0819155621116305,0.0,2,bound,2.1210898146649164,5.338923824632659
schedule_dw,1.937319,37684.999998262334,35018.77504196554,0.07075029737083009,7.0750297370830095,0.0,2,bound,2.11383636068332,5.338923824632659
schedule_dw,2.049963,37684.999998262334,35019.35323105618,0.07073495468565925,7.073495468565925,0.0,2,bound,2.112220178738844,5.338923824632659
schedule_dw,2.17564,37684.999998262334,35019.86773566471,0.07072130191642602,7.072130191642602,0.0,2,bound,2.1107820107205884,5.338923824632659
schedule_dw,2.320496,37438.99999959511,35019.86773566471,0.06461530126222817,6.461530126222817,0.0,4,incumbent,2.1107820107205884,4.6512928011044234
schedule_dw,2.335885,37438.99999959511,35019.94023164894,0.06461336488614348,6.461336488614348,0.0,4,bound,2.110579366459977,4.6512928011044234
schedule_dw,2.35612,37438.99999959511,35020.018619874376,0.06461127112761805,6.4611271127618055,0.0,4,bound,2.1103602519234776,4.6512928011044234
schedule_dw,2.37315,37438.99999959511,35020.34088298219,0.06460266344290905,6.460266344290905,0.0,4,bound,2.1094594465906558,4.6512928011044234
schedule_dw,2.389163,37438.99999959511,35020.559655360055,0.06459682000751107,6.4596820007511075,0.0,4,bound,2.108847923521858,4.6512928011044234
schedule_dw,2.513686,37438.99999959511,35020.648720321566,0.0645944410721359,6.4594441072135895,0.0,4,bound,2.1085989648593553,4.6512928011044234
schedule_dw,3.636068,36357.999999853884,35020.648720321566,0.036782861530823836,3.6782861530823836,0.0,8,incumbent,2.1085989648593553,1.6296296292211998
schedule_dw,3.87652,36357.999999853884,35021.187340314114,0.03676804718480506,3.676804718480506,0.0,8,bound,2.1070933883602674,1.6296296292211998
schedule_dw,3.893441,36357.999999853884,35021.469448727636,0.036760288000759665,3.6760288000759664,0.0,8,bound,2.106304825359509,1.6296296292211998
schedule_dw,3.911209,36357.999999853884,35021.581704694145,0.03675720048311542,3.675720048311542,0.0,8,bound,2.1059910420848507,1.6296296292211998
schedule_dw,4.181401,36357.999999853884,35021.67460756297,0.03675464525816282,3.675464525816282,0.0,8,bound,2.105731355519299,1.6296296292211998
schedule_dw,5.914702,35790.99999986925,35021.6891786641,0.02149453273750279,2.149453273750279,0.0,14,incumbent,2.105690625676872,0.04472396888679536
schedule_dw,6.958985,35790.99999986925,35021.83546107295,0.021490445609206498,2.14904456092065,0.0,14,bound,2.105281730054644,0.04472396888679536
schedule_dw,7.055437,35790.99999986925,35021.96499845132,0.021486826336809168,2.1486826336809166,0.0,14,bound,2.104919640946685,0.04472396888679536
schedule_dw,7.181906,35790.99999986925,35022.07650886929,0.021483710737413505,2.1483710737413504,0.0,14,bound,2.1046079416651478,0.04472396888679536
schedule_dw,9.182964,35790.99999986925,35039.396182506345,0.02099979931730467,2.0999799317304673,3.0,14,bound,2.056195157214968,0.04472396888679536
schedule_dw,9.314313,35790.99999986925,35040.60002260634,0.020966164043073724,2.0966164043073725,5.0,14,bound,2.052830125488915,0.04472396888679536
schedule_dw,10.005167,35791.0,35040.60002260634,0.020966164046650256,2.0966164046650255,35.0,10,final,2.052830125488915,0.04472396925227114
