resource,required_capacity,peak_usage_in_solution,capacity_minus_peak,capacity_basis,system_solution_proven_optimal,proven_lexicographic_optimal
1001001,0.0,0.0,0.0,posthoc_peak_usage,True,False
1001002,0.0,0.0,0.0,posthoc_peak_usage,True,False
1001003,0.0,0.0,0.0,posthoc_peak_usage,True,False
1001004,0.0,0.0,0.0,posthoc_peak_usage,True,False
1002001,0.0,0.0,0.0,posthoc_peak_usage,True,False
1002002,0.0,0.0,0.0,posthoc_peak_usage,True,False
1002003,0.0,0.0,0.0,posthoc_peak_usage,True,False
1002004,0.0,0.0,0.0,posthoc_peak_usage,True,False
1002005,0.0,0.0,0.0,posthoc_peak_usage,True,False
1003001,0.0,0.0,0.0,posthoc_peak_usage,True,False
1003002,0.0,0.0,0.0,posthoc_peak_usage,True,False
1003003,0.0,0.0,0.0,posthoc_peak_usage,True,False
1003004,0.0,0.0,0.0,posthoc_peak_usage,True,False
1003005,0.0,0.0,0.0,posthoc_peak_usage,True,False
1004001,0.0,0.0,0.0,posthoc_peak_usage,True,False
1004002,0.0,0.0,0.0,posthoc_peak_usage,True,False
1004003,0.0,0.0,0.0,posthoc_peak_usage,True,False
1005001,0.0,0.0,0.0,posthoc_peak_usage,True,False
1005002,0.0,0.0,0.0,posthoc_peak_usage,True,False
1005003,0.0,0.0,0.0,posthoc_peak_usage,True,False
1005004,0.0,0.0,0.0,posthoc_peak_usage,True,False
1005005,0.0,0.0,0.0,posthoc_peak_usage,True,False
1006001,0.0,0.0,0.0,posthoc_peak_usage,True,False
1006002,0.0,0.0,0.0,posthoc_peak_usage,True,False
1006003,0.0,0.0,0.0,posthoc_peak_usage,True,False
1007001,0.0,0.0,0.0,posthoc_peak_usage,True,False
1007002,0.0,0.0,0.0,posthoc_peak_usage,True,False
1007003,0.0,0.0,0.0,posthoc_peak_usage,True,False
1008001,0.0,0.0,0.0,posthoc_peak_usage,True,False
1008002,0.0,0.0,0.0,posthoc_peak_usage,True,False
1008003,0.0,0.0,0.0,posthoc_peak_usage,True,False
1008004,0.0,0.0,0.0,posthoc_peak_usage,True,False
1008005,0.0,0.0,0.0,posthoc_peak_usage,True,False
1009001,0.0,0.0,0.0,posthoc_peak_usage,True,False
1009002,0.0,0.0,0.0,posthoc_peak_usage,True,False
1009003,0.0,0.0,0.0,posthoc_peak_usage,True,False
1010001,5.0,5.0,0.0,posthoc_peak_usage,True,False
1010002,5.0,5.0,0.0,posthoc_peak_usage,True,False
1010003,5.0,5.0,0.0,posthoc_peak_usage,True,False
1010004,5.0,5.0,0.0,posthoc_peak_usage,True,False
1010005,5.0,5.0,0.0,posthoc_peak_usage,True,False
1011001,5.0,5.0,0.0,posthoc_peak_usage,True,False
1011002,5.0,5.0,0.0,posthoc_peak_usage,True,False
1011003,5.0,5.0,0.0,posthoc_peak_usage,True,False
1011004,5.0,5.0,0.0,posthoc_peak_usage,True,False
1011005,5.0,5.0,0.0,posthoc_peak_usage,True,False
1011006,5.0,5.0,0.0,posthoc_peak_usage,True,False
1012001,0.0,0.0,0.0,posthoc_peak_usage,True,False
1012002,0.0,0.0,0.0,posthoc_peak_usage,True,False
1013001,0.0,0.0,0.0,posthoc_peak_usage,True,False
1013002,0.0,0.0,0.0,posthoc_peak_usage,True,False
1013003,0.0,0.0,0.0,posthoc_peak_usage,True,False
1013004,0.0,0.0,0.0,posthoc_peak_usage,True,False
1013005,0.0,0.0,0.0,posthoc_peak_usage,True,False
1014001,0.0,0.0,0.0,posthoc_peak_usage,True,False
1014002,0.0,0.0,0.0,posthoc_peak_usage,True,False
1014003,0.0,0.0,0.0,posthoc_peak_usage,True,False
1014004,0.0,0.0,0.0,posthoc_peak_usage,True,False
1015001,4.0,4.0,0.0,posthoc_peak_usage,True,False
1015002,4.0,4.0,0.0,posthoc_peak_usage,True,False
1016001,5.0,5.0,0.0,posthoc_peak_usage,True,False
1016002,5.0,5.0,0.0,posthoc_peak_usage,True,False
1016003,5.0,5.0,0.0,posthoc_peak_usage,True,False
1016004,5.0,5.0,0.0,posthoc_peak_usage,True,False
1016005,5.0,5.0,0.0,posthoc_peak_usage,True,False
1017001,0.0,0.0,0.0,posthoc_peak_usage,True,False
1017002,0.0,0.0,0.0,posthoc_peak_usage,True,False
1017003,0.0,0.0,0.0,posthoc_peak_usage,True,False
1017004,0.0,0.0,0.0,posthoc_peak_usage,True,False
1017005,0.0,0.0,0.0,posthoc_peak_usage,True,False
1018001,2.0,2.0,0.0,posthoc_peak_usage,True,False
1018002,2.0,2.0,0.0,posthoc_peak_usage,True,False
1018003,2.0,2.0,0.0,posthoc_peak_usage,True,False
